"","year.FRP","FRP","infection_status","Uniq_ID","sample_day","maturity","Holding_Tank","Low_Tag","High_Tag","sample","treatment_tank","where","tube_number","Comments","death","comments","CW","SC","CH","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"85","2017-6129",6129,1,"6129_86_9",9,"I","7A",3129,3137,NA,5,"drain end",457,"","","","114.1","3","16.8","4/3/18 15:08","3.58",35,"125.3"
"86","2017-6129",6129,1,"6129_299_12",12,"I","5W",3129,3137,NA,5,"",200,"","","","114.1","3","16.8",NA,NA,NA,NA
"87","2017-6129",6129,1,"6129_403_26",26,"I","5W",3129,3137,NA,5,"",294,"","","","114.1","3","16.8",NA,NA,NA,NA
"88","2017-6130",6130,0,"6130_47_9",9,"I","9A",3134,3208,NA,8,"drain end",367,"","","","111.4","3","11.8",NA,NA,NA,NA
"89","2017-6130",6130,0,"6130_339_12",12,"I","8A",3134,3208,NA,8,"",243,"","","","111.4","3","11.8",NA,NA,NA,NA
"90","2017-6130",6130,0,"6130_498_26",26,"I","8A",3134,3208,NA,8,"",398,"","","","111.4","3","11.8",NA,NA,NA,NA
"91","2017-6131",6131,0,"6131_38_9",9,"I","9A",3147,3563,NA,9,"drain end",287,"","","","107.4","3","19.1","5/24/18 13:51","5.52",35,"193.2"
"92","2017-6131",6131,0,"6131_314_12",12,"I","9A",3147,3563,NA,9,"",216,"","","","107.4","3","19.1",NA,NA,NA,NA
"93","2017-6131",6131,0,"6131_507_26",26,"I","9A",3147,3563,NA,9,"",409,"","","","107.4","3","19.1","4/23/18 17:41","8.04",35,"281.4"
"94","2017-6132",6132,0,"6132_88_9",9,"I","7A",3149,3436,NA,1,"drain end",459,"","","","133.7","3","22.1",NA,NA,NA,NA
"95","2017-6132",6132,0,"6132_205_12",12,"I","1C",3149,3436,NA,1,"",99,"","","","133.7","3","22.1",NA,NA,NA,NA
"96","2017-6132",6132,0,"6132_406_26",26,"I","1C",3149,3436,NA,1,"",297,"","","","133.7","3","22.1",NA,NA,NA,NA
