,Run_ID,Assay_Name,Test_Name,Test_Date,Qubit_tube_conc,Units,Original_sample_conc,Units.1,Sample_Volume,Dilution_Factor,Std_1_RFU,Std_2_RFU,Excitation,Emission,Far_Red_RFU,tube_number,Sample_Day,Uniq_ID,FRP,infection_status,maturity,treatment_tank,temperature_treatment,comments
93,2018-04-29_175738,RNA High sensitivity,Sample_#180429-175919,4/29/18 17:59,126,ng/mL,5.04,ng/uL,5,40,89.64,1451.8,Red,Far Red,472.83,436,26,6154_436_26,6154,0,I,2,cold,
94,2018-04-29_175738,RNA High sensitivity,Sample_#180429-175907,4/29/18 17:59,91.1,ng/mL,3.64,ng/uL,5,40,89.64,1451.8,Red,Far Red,364.96,421,26,6147_421_26,6147,0,I,1,cold,
95,2018-04-29_175738,RNA High sensitivity,Sample_#180429-175858,4/29/18 17:58,46.9,ng/mL,1.88,ng/uL,5,40,89.64,1451.8,Red,Far Red,226.28,207,12,6167_207_12,6167,0,I,1,cold,
96,2018-04-29_175738,RNA High sensitivity,Sample_#180429-175848,4/29/18 17:58,59.4,ng/mL,2.38,ng/uL,5,40,89.64,1451.8,Red,Far Red,265.67,232,12,6154_232_12,6154,0,I,2,cold,
97,2018-04-29_175738,RNA High sensitivity,Sample_#180429-175836,4/29/18 17:58,89.9,ng/mL,3.6,ng/uL,5,40,89.64,1451.8,Red,Far Red,361.33,204,12,6147_204_12,6147,0,I,1,cold,
98,2018-04-29_175738,RNA High sensitivity,Sample_#180429-175826,4/29/18 17:58,135,ng/mL,5.4,ng/uL,5,40,89.64,1451.8,Red,Far Red,502.53,45,9,6167_45_9,6167,0,I,1,cold,
99,2018-04-29_175738,RNA High sensitivity,Sample_#180429-175815,4/29/18 17:58,52.5,ng/mL,2.1,ng/uL,5,40,89.64,1451.8,Red,Far Red,243.76,68,9,6154_68_9,6154,0,I,2,cold,
100,2018-04-29_175738,RNA High sensitivity,Sample_#180429-175802,4/29/18 17:58,0,ng/mL,0,ng/uL,5,40,89.64,1451.8,Red,Far Red,100.68,30,9,6147_30_9,6147,0,I,1,cold,replace crab
101,2018-05-01_142715,RNA High sensitivity,Sample_#180501-142908,5/1/18 14:29,128,ng/mL,5.12,ng/uL,5,40,88.87,1459.43,Red,Far Red,482.6,482,26,6193_482_26,6193,1,I,8,ambient,
102,2018-05-01_142715,RNA High sensitivity,Sample_#180501-142858,5/1/18 14:28,70.7,ng/mL,2.83,ng/uL,5,40,88.87,1459.43,Red,Far Red,301.54,463,26,6192_463_26,6192,1,I,7,ambient,
103,2018-05-01_142715,RNA High sensitivity,Sample_#180501-142848,5/1/18 14:28,36,ng/mL,1.44,ng/uL,5,40,88.87,1459.43,Red,Far Red,192.41,513,26,6184_513_26,6184,1,I,9,ambient,
104,2018-05-01_142715,RNA High sensitivity,Sample_#180501-142838,5/1/18 14:28,152,ng/mL,6.08,ng/uL,5,40,88.87,1459.43,Red,Far Red,554.12,333,12,6193_333_12,6193,1,I,8,ambient,
105,2018-05-01_142715,RNA High sensitivity,Sample_#180501-142827,5/1/18 14:28,142,ng/mL,5.68,ng/uL,5,40,88.87,1459.43,Red,Far Red,523.83,359,12,6192_359_12,6192,1,I,7,ambient,
