Trinity_ID,binary_sig
TRINITY_DN10285_c0_g2_i1,NA
TRINITY_DN10286_c0_g1_i1,NA
TRINITY_DN10286_c0_g1_i2,NA
TRINITY_DN10288_c1_g1_i1,0
TRINITY_DN10288_c5_g1_i1,NA
TRINITY_DN10289_c0_g1_i1,0
TRINITY_DN1029_c0_g1_i11,0
TRINITY_DN1029_c0_g1_i2,0
TRINITY_DN1029_c0_g1_i3,0
TRINITY_DN1029_c0_g1_i4,NA
TRINITY_DN1029_c0_g1_i5,NA
TRINITY_DN1029_c0_g1_i6,0
TRINITY_DN1029_c0_g1_i7,0
TRINITY_DN1029_c0_g1_i8,NA
TRINITY_DN1029_c0_g1_i9,NA
TRINITY_DN10290_c0_g1_i1,0
TRINITY_DN10291_c0_g1_i1,NA
TRINITY_DN10291_c0_g1_i2,0
TRINITY_DN10291_c0_g1_i3,NA
TRINITY_DN10292_c2_g1_i1,NA
TRINITY_DN10293_c0_g1_i1,NA
TRINITY_DN10293_c0_g1_i2,NA
TRINITY_DN10294_c0_g1_i2,0
TRINITY_DN10295_c0_g1_i1,NA
TRINITY_DN10295_c0_g1_i2,NA
TRINITY_DN10295_c0_g1_i4,NA
TRINITY_DN10295_c0_g1_i5,NA
TRINITY_DN10295_c0_g1_i6,NA
TRINITY_DN10296_c0_g1_i1,NA
TRINITY_DN10297_c0_g1_i1,0
TRINITY_DN10298_c0_g1_i1,0
TRINITY_DN10299_c0_g1_i1,0
TRINITY_DN103_c0_g1_i1,0
TRINITY_DN103_c0_g1_i2,0
TRINITY_DN103_c0_g1_i3,NA
TRINITY_DN103_c0_g2_i3,0
TRINITY_DN103_c10_g3_i1,NA
TRINITY_DN103_c13_g1_i1,0
TRINITY_DN103_c16_g3_i2,0
TRINITY_DN103_c2_g2_i1,NA
TRINITY_DN103_c2_g2_i11,NA
TRINITY_DN103_c2_g2_i13,0
TRINITY_DN103_c2_g2_i14,0
TRINITY_DN103_c2_g2_i15,0
TRINITY_DN103_c2_g2_i16,NA
TRINITY_DN103_c2_g2_i18,0
TRINITY_DN103_c2_g2_i3,NA
TRINITY_DN103_c2_g2_i4,NA
